8619414 kruispunt_rijks 3d_conv_study__3d_encoder
8619416 scooter-black 3d_conv_study__fully_2d 10.725114999999999
8619415 amsterdamse_brug 3d_conv_study__3d_encoder
8619410 scooter-black 3d_conv_study__normal_3d_bottleneck 12.861318399999998
8619419 scooter-black alpha_study__alpha_layers_corr_diff 13.121119400000001
8619422 scooter-black alpha_study__alpha_layers_dyn_composite 13.0145406
8619413 scooter-black 3d_conv_study__3d_encoder 24.2182348
8619428 scooter-black alpha_study__alpha_composite_corr_diff 12.9005776
8619425 scooter-black alpha_study__alpha_composite_dyn_composite 12.795864599999998
8619417 kruispunt_rijks 3d_conv_study__fully_2d 46.073961600000004
8619431 scooter-black attention_study__no_shared_backbone 12.7872736
8619411 kruispunt_rijks 3d_conv_study__normal_3d_bottleneck 57.41365599999999
8619420 kruispunt_rijks alpha_study__alpha_layers_corr_diff 59.407863199999994
8619434 scooter-black attention_study__no_addons 8.353566599999999
8619423 kruispunt_rijks alpha_study__alpha_layers_dyn_composite 61.58621300000001
8619426 kruispunt_rijks alpha_study__alpha_composite_dyn_composite 65.1517522
8619418 amsterdamse_brug 3d_conv_study__fully_2d 93.4751582
8619429 kruispunt_rijks alpha_study__alpha_composite_corr_diff 64.1853712
8619437 scooter-black attention_study__no_attention 11.466882400000001
8619435 kruispunt_rijks attention_study__no_addons 32.0590232
8619440 scooter-black attention_study__noise_plus 12.681861600000001
8619412 amsterdamse_brug 3d_conv_study__normal_3d_bottleneck 121.43640439999999
8619432 kruispunt_rijks attention_study__no_shared_backbone 63.6745524
8619421 amsterdamse_brug alpha_study__alpha_layers_corr_diff 123.85790619999997
8619443 scooter-black attention_study__rgb 12.2947148
8619427 amsterdamse_brug alpha_study__alpha_composite_dyn_composite 118.3198126
8619424 amsterdamse_brug alpha_study__alpha_layers_dyn_composite 119.16036039999999
